"","slsl_no","site_ID","visit","TN","TC","CN_ratio","lat","lon","final_Lat","final_Long","tn_30","toc_30","cnratio_30","litter_soil_ratio","ae_ratio"
"1",5542,1,1,0.488,33.542,68.7654,-31.72733101,116.693956,-31.72733101,116.693956,0.0561666666666667,0.941833333333333,17.6348166666667,3.8994111081393,2.26255640415116
"2",5544,2,1,1.119,32.358,28.9177,-31.73345299,116.673447,-31.73345299,116.673447,0.031,0.468,16.5042333333333,1.75213834026422,1.40004190797488
"3",5546,3,1,0.668,19.99,29.9241,-31.73424197,116.673868,-31.73424197,116.673868,0.022,0.373333333333333,18.3351333333333,1.63206339741189,1.34165920586966
"4",5548,6,1,0.929,35.635,38.3658,-31.74358402,116.70109,-31.74358402,116.70109,0.09,1.51133333333333,16.8664333333333,2.27468364186856,1.63739176810391
"5",5550,7,1,0.3805,16.1555,42.375,-31.72523201,116.690773,-31.72523201,116.690773,0.0985,1.65583333333333,17.0098666666667,2.49120118519448,1.7292002159747
"6",5552,8,1,0.414,26.377,63.6971,-31.74187998,116.697829,-31.74187998,116.697829,0.0706666666666667,1.19233333333333,17.7745,3.58362260541787,2.15076698093745
"7",5554,9,1,0.563,24.027,42.6973,-31.75366201,116.680498,-31.75366201,116.680498,0.0506666666666667,0.766,15.7268,2.71493883053132,1.82077394238036
"8",5556,11,1,0.9665,24.61,25.46375,-31.75162302,116.676005,-31.75162302,116.676005,0.0303333333333333,0.612,23.6040333333333,1.0787880884764,1.04655410498341
"9",5558,12,1,2.166,36.496,16.8531,-31.73518804,116.669401,-31.73518804,116.669401,0.0266666666666667,0.422,15.9822666666667,1.05448747361659,1.03234499134262
"10",5560,13,1,0.594,23.822,40.0974,-31.75330804,116.67621,-31.75330804,116.67621,0.0516666666666667,0.904333333333333,21.2790333333333,1.88436191493661,1.4625091465524
"11",5562,17,1,0.394,43.275,109.7099,-31.73467901,116.695232,-31.73467901,116.695232,0.039,0.667666666666667,18.6894,5.87016704656115,2.89194664416353
"12",5564,18,1,1.256,23.192,18.4653,-31.75146796,116.691863,-31.75146796,116.691863,0.0413333333333333,0.677666666666667,19.9767666666667,0.924338773541931,0.953890893092406
"13",5566,19,1,1.222,31.849,26.069,-31.74574899,116.693199,-31.74574899,116.693199,0.0715,1.0205,14.7338,1.76933309804667,1.40826945947402
